module,skill,display-name,menu-code,description,action,args,phase,preceded-by,followed-by,required,output-location,outputs
Guardrails Health,grh-profile,Profila il progetto,GP,"Raccoglie in pochi minuti gli otto campi che danno contesto a tutte e ventitré le figure, criticità inclusa.",profile,,1-analysis,,grh-board:review,true,{project-root}/_bmad/memory/grl-shared,project-profile.md
Guardrails Health,grh-profile,Aggiorna il profilo,GA,"Riallinea il profilo quando il progetto cambia, e dice se il cambiamento invalida rischi già accettati.",update-profile,,anytime,grh-profile:profile,grh-board:accepted-risks,false,{project-root}/_bmad/memory/grl-shared,project-profile.md aggiornato
Guardrails Health,grh-profile,Allinea il linguaggio del dominio,DG,"Raccoglie termini, definizioni operative, confini e casi limite condivisi senza aggiungere un nono campo al profilo.",domain,[path],anytime,,,false,{project-root}/_bmad/memory/grl-shared,domain-glossary.md
Guardrails Health,grh-board,Convoca il collegio,GB,"Fa leggere lo stesso artefatto alle sole figure pertinenti e restituisce un riepilogo unico, conflitti compresi.",review,[path],anytime,grh-profile:profile,grh-board:release-gate,false,{project-root}/_bmad/memory/grl-shared,"riepilogo in conversazione, righe in decisions.md e accepted-risks.md"
Guardrails Health,grh-board,Rischi già accettati,GR,"Mostra, raggruppato per figura, quello che il progetto ha consapevolmente scelto di accettare.",accepted-risks,,anytime,grh-profile:profile,,false,{project-root}/_bmad/memory/grl-shared,elenco in conversazione
Guardrails Health,grh-board,Gate di rilascio,GG,"Verifica una release identificata e restituisce GO, GO_CON_CONDIZIONI, NO_GO o EVIDENZA_INSUFFICIENTE.",release-gate,[path],anytime,grh-profile:profile,,false,{output_folder}/release-gates,{release_slug}-{gate_started_at_utc}.md
Guardrails Health,grl-agent-health,Livia — dominio clinico,GH,"Se il software regge la medicina come si fa davvero: dato clinico, codifiche, integrazioni sanitarie, reparto vero.",consult,,anytime,grh-profile:profile,grl-mdsw:qualify,false,,"modello dati clinico, sicurezza del paziente, workflow clinico, interoperabilità, FSE e Sistema TS, portale del paziente, telemedicina"
Guardrails Health,grl-mdsw,È un dispositivo medico?,GQ,"Verifica se una funzione software ha una finalità medica su un singolo paziente, distingue archiviazione e visualizzazione da interpretazione clinica e indica se rientra nel MDR e in quale classe (I, IIa, IIb, III), con l'impatto sul piano. Non produce certificazione.",qualify,,anytime,grh-profile:profile,grh-board:review,false,{project-root}/_bmad/memory/grl-shared,"verdetto in conversazione, riga in decisions.md"
Guardrails Health,grl-automation,Instrada un'automazione,AR,"Classifica lo scenario, sceglie agenti e workflow BMad e dichiara capability mancanti, scope e approvazioni, includendo social/content e creative video.",route,,anytime,grh-profile:profile,grl-automation:plan,false,{output_folder}/automation/{slug},"run.md, route e handoff.md"
Guardrails Health,grl-automation,Prepara un piano eseguibile,PL,"Costruisce passi idempotenti con input, output, precondizioni, rischio, approvazione e rollback.",plan,[slug],anytime,grl-automation:route,grl-automation:read-only,false,{output_folder}/automation/{slug},"plan.md e run.md"
Guardrails Health,grl-automation,Esegui controlli read-only,RO,"Raccoglie evidenze e confronti riproducibili senza modificare sistemi esterni.",read-only,[slug],anytime,grl-automation:plan,grl-automation:dry-run,false,{output_folder}/automation/{slug},"evidence.md aggiornato"
Guardrails Health,grl-automation,Prepara un dry-run,DR,"Genera e valida diff o payload senza spendere, pubblicare o applicare side effect.",dry-run,[slug],anytime,grl-automation:read-only,grl-automation:execute,false,{output_folder}/automation/{slug},"diff/payload validato e approvals.md"
Guardrails Health,grl-automation,Esegui dopo approvazione,EX,"Applica solo lo scope approvato, registra prima/dopo e osserva il risultato; in caso di errore attiva il rollback.",execute,[slug],anytime,grl-automation:dry-run,,false,{output_folder}/automation/{slug},"execution-log.md, handoff.md e stato del run"
Guardrails Health,grl-automation,Riprendi un'automazione,RS,"Riprende un run esistente dal primo passo non concluso senza duplicare scritture o side effect.",resume,[slug],anytime,,grl-automation:execute,false,{output_folder}/automation/{slug},"run.md, plan.md e execution-log.md aggiornati"
